var1,var2,statistic,value,p_value,n
number_of_trials_on_0.75_ratio_using_full_4_minutes_data,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,0.397554754,0.016348246,36
number_of_trials_on_0.75_ratio_using_full_4_minutes_data,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,0.402544891,0.014933042,36
number_of_trials_on_0.75_ratio_using_full_4_minutes_data,number_of_trials_in_a_row_correct_choice_first,r,0.269033624,0.112593115,36
number_of_trials_on_0.75_ratio_using_full_4_minutes_data,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,-0.022929607,0.895977956,35
number_of_trials_on_0.75_ratio_using_full_4_minutes_data,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,0.090936238,0.60339372,35
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,median_performance_on_0.50_ratio_using_full_4_minutes_data,r,-0.137528813,0.430792109,35
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,median_performance_on_0.67_ratio_using_full_4_minutes_data,r,-0.061298782,0.726483323,35
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,median_performance_on_0.75_ratio_using_full_4_minutes_data,r,0.228371899,0.193922304,34
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,median_performance_on_0.50_ratio_using_T30_to_T50_data,r,-0.023142004,0.898282208,33
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,median_performance_on_0.67_ratio_using_T30_to_T50_data,r,0.081473783,0.641734466,35
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,median_performance_on_0.75_ratio_using_T30_to_T50_data,r,0.110986385,0.532046442,34
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,number_of_medians_above_60_using_full_4_minutes_data,ICC,-0.070302931,0.44,36
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,number_of_medians_above_60_using_T30_to_T50_data,ICC,-0.104525264,0.23,36
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,shapiro_wilk_test_p_value_using_full_4_minutes_data,r,0.298883759,0.081138135,35
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,r,0.089557146,0.608920223,35
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,shapiro_wilk_test_p_value_using_T30_to_T50_data,r,0.256735201,0.149226933,33
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,r,-0.374924575,0.031567355,33
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,learning_category_according_to_etheredge_T30_to_T50,ICC,0.011841382,0.96,35
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,learning_category_according_to_etheredge_full_4_minutes,ICC,-0.032837496,0.76,36
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,average_latency_to_enter_correct_side,r,-0.402057601,0.016654979,35
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,average_latency_to_enter_incorrect_side,r,-0.584333157,2.28E-04,35
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,-0.407004387,0.015244522,35
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,proportion_of_correct_first_choices,r,0.081418627,0.641960774,35
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,0.283696382,0.093590517,36
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,0.33028913,0.049136958,36
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,number_of_trials_in_a_row_correct_choice_first,r,0.313446445,0.062669768,36
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,-0.042688689,0.807626889,35
number_of_trials_on_0.75_ratio_using_T30_to_T50_data,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,0.111705003,0.522914332,35
order,sex,tau,0.106,0.62,36
order,detour_trial_1_date_of_trial,tau,0.649,0.01,36
order,detour_trial_1_time_of_trial,tau,0.14,0.29,36
order,detour_trial_1_did_fish_solve_barrier_problem,tau,0.236,0.1,36
order,detour_trial_1_did_fish_solve_full_social_problem,tau,0.206,0.19,36
order,scorer,tau,0.43,0.01,36
order,shuttlebox_start_side,tau,NaN,NA,22
order,did_fish_solve_shuttlebox,tau,NaN,NA,22
order,average_number_of_entries,ICC,-0.202201323,0.07,36
order,average_reaction_time,ICC,-0.042940795,0.68,36
order,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,ICC,0.117838476,0.29,35
order,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,ICC,0.106188511,0.38,35
order,total_number_of_testing_trials_using_full_4_minutes_data,ICC,0.05956615,0.66,36
order,total_number_of_testing_trials_using_T30_to_T50_data,ICC,0.102162578,0.31,36
order,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,ICC,0.041476274,0.67,36
order,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,ICC,0.370980263,0.05,36
order,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,ICC,0.081744162,0.49,36
order,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,ICC,0.036644094,0.82,36
order,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,ICC,0.168171039,0.11,36
order,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,ICC,0.121763372,0.42,36
order,median_performance_on_0.50_ratio_using_full_4_minutes_data,ICC,0.278376208,0.02,35
order,median_performance_on_0.67_ratio_using_full_4_minutes_data,ICC,-0.118514122,0.32,35
order,median_performance_on_0.75_ratio_using_full_4_minutes_data,ICC,-0.041832394,0.71,34
order,median_performance_on_0.50_ratio_using_T30_to_T50_data,ICC,0.203337806,0.07,33
order,median_performance_on_0.67_ratio_using_T30_to_T50_data,ICC,-0.135360989,0.22,35
order,median_performance_on_0.75_ratio_using_T30_to_T50_data,ICC,0.221318002,0.03,34
order,number_of_medians_above_60_using_full_4_minutes_data,tau,0.142,0.45,36
order,number_of_medians_above_60_using_T30_to_T50_data,tau,0.2,0.16,36
order,shapiro_wilk_test_p_value_using_full_4_minutes_data,ICC,-0.044159829,0.73,35
order,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,ICC,-0.153926036,0.19,35
order,shapiro_wilk_test_p_value_using_T30_to_T50_data,ICC,-0.073340202,0.6,33
order,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,ICC,0.270476967,0.03,33
order,learning_category_according_to_etheredge_T30_to_T50,tau,0.09,0.71,35
order,learning_category_according_to_etheredge_full_4_minutes,tau,0.123,0.52,36
order,average_latency_to_enter_correct_side,ICC,-0.077120324,0.58,35
order,average_latency_to_enter_incorrect_side,ICC,-0.123436683,0.31,35
order,average_latency_to_enter_correct_side_filtered_just_correct_choice,ICC,-0.086855738,0.41,35
order,proportion_of_correct_first_choices,ICC,0.167047646,0.19,35
order,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,ICC,-0.052461966,0.71,36
order,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,ICC,0.353540828,0.01,36
order,number_of_trials_in_a_row_correct_choice_first,ICC,0.042002882,0.77,36
order,mean_of_median_performance_on_each_ratio_full_four_minutes_data,ICC,0.211115594,0.08,35
order,mean_of_median_performance_on_each_ratio_T30_to_T50_data,ICC,0.11505032,0.35,35
proportion_of_correct_first_choices,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,-0.148868481,0.39338041,35
proportion_of_correct_first_choices,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,0.249094681,0.149019491,35
proportion_of_correct_first_choices,number_of_trials_in_a_row_correct_choice_first,r,0.684014115,5.89E-06,35
proportion_of_correct_first_choices,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,-0.095782958,0.584144382,35
proportion_of_correct_first_choices,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,0.388092,0.021238187,35
scorer,sex,tau,0,0.86,52
scorer,detour_trial_1_date_of_trial,tau,0.256,0.01,52
scorer,detour_trial_1_time_of_trial,tau,0.04,0.12,52
scorer,detour_trial_1_did_fish_solve_barrier_problem,tau,0.063,0.24,52
scorer,detour_trial_1_did_fish_solve_full_social_problem,tau,0.1,0.1,52
scorer,shuttlebox_start_side,tau,0.131,0.14,32
scorer,shuttlebox_average_distance_from_correct_stimulus_during_stimulus,ICC,0.032444809,0.79,32
scorer,shuttlebox_average_distance_from_correct_stimulus_during_gaps,ICC,-0.033398381,0.82,32
scorer,shuttlebox_slope,ICC,-0.104268642,0.37,32
scorer,shuttlebox_wilcox_test,ICC,0.101588575,0.35,32
scorer,binned_shuttlebox_slope,ICC,-0.10029232,0.42,32
scorer,binned_shuttlebox_wilcox_test,ICC,0.101588575,0.36,32
scorer,shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,ICC,0.21056698,0.08,32
scorer,shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,ICC,0.236824906,0.05,32
scorer,shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,ICC,-0.071512816,0.6,32
scorer,shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,ICC,0.255407434,0.03,32
scorer,binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,ICC,0.175294242,0.08,32
scorer,binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,ICC,0.236824906,0.04,32
scorer,binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,ICC,-0.045701379,0.79,32
scorer,binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,ICC,0.255314012,0.05,32
scorer,did_fish_solve_shuttlebox,tau,0.037,0.4,32
scorer,binned_did_fish_solve_shuttlebox,ICC,-0.057986946,0.75,32
scorer,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_stimulus,ICC,0.142468715,0.13,32
scorer,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_gaps,ICC,-0.054178658,0.63,32
scorer,twentythree_filtered_shuttlebox_slope,ICC,0.031531917,0.82,32
scorer,twentythree_filtered_shuttlebox_wilcox_test,ICC,0.295819259,0.03,32
scorer,twentythree_filtered_binned_shuttlebox_slope,ICC,0.029394244,0.81,32
scorer,twentythree_filtered_binned_shuttlebox_wilcox_test,ICC,0.295819259,0.03,32
scorer,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,ICC,0.084249797,0.51,32
scorer,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,ICC,0.319649499,0.02,32
scorer,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,ICC,0.243529104,0.03,32
scorer,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,ICC,0.20144287,0.06,32
scorer,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,ICC,0.046010331,0.67,32
scorer,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,ICC,0.319152978,0.02,32
scorer,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,ICC,0.212198873,0.08,32
scorer,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,ICC,0.183066549,0.09,32
scorer,standard_length,ICC,0.70223626,0.01,36
scorer,order,tau,0.302,0.01,36
scorer,average_number_of_entries,ICC,0.107303936,0.27,36
scorer,average_reaction_time,ICC,0.099568146,0.34,36
scorer,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,ICC,0.325123725,0.04,35
scorer,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,ICC,-0.077118524,0.5,35
scorer,total_number_of_testing_trials_using_full_4_minutes_data,ICC,0.173020528,0.13,36
scorer,total_number_of_testing_trials_using_T30_to_T50_data,ICC,0.241271672,0.02,36
scorer,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,ICC,-0.007102027,0.97,36
scorer,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,ICC,-0.063302614,0.32,36
scorer,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,ICC,0.402650776,0.02,36
scorer,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,ICC,0.108101974,0.21,36
scorer,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,ICC,0.291381257,0.03,36
scorer,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,ICC,0.327215084,0.01,36
scorer,median_performance_on_0.50_ratio_using_full_4_minutes_data,ICC,0.100144776,0.38,35
scorer,median_performance_on_0.67_ratio_using_full_4_minutes_data,ICC,0.032620074,0.82,35
scorer,median_performance_on_0.75_ratio_using_full_4_minutes_data,ICC,0.299704469,0.07,34
scorer,median_performance_on_0.50_ratio_using_T30_to_T50_data,ICC,-0.068069361,0.54,33
scorer,median_performance_on_0.67_ratio_using_T30_to_T50_data,ICC,-0.129760773,0.25,35
scorer,median_performance_on_0.75_ratio_using_T30_to_T50_data,ICC,0.164902282,0.15,34
scorer,number_of_medians_above_60_using_full_4_minutes_data,tau,0.052,0.38,36
scorer,number_of_medians_above_60_using_T30_to_T50_data,tau,0.065,0.31,36
scorer,shapiro_wilk_test_p_value_using_full_4_minutes_data,ICC,-0.068513124,0.6,35
scorer,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,ICC,0.264929827,0.05,35
scorer,shapiro_wilk_test_p_value_using_T30_to_T50_data,ICC,-0.046581056,0.77,33
scorer,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,ICC,-0.012279337,0.95,33
scorer,learning_category_according_to_etheredge_T30_to_T50,tau,0.002,0.86,35
scorer,learning_category_according_to_etheredge_full_4_minutes,tau,0.062,0.27,36
scorer,average_latency_to_enter_correct_side,ICC,0.221668897,0.04,35
scorer,average_latency_to_enter_incorrect_side,ICC,0.043535531,0.76,35
scorer,average_latency_to_enter_correct_side_filtered_just_correct_choice,ICC,0.148893208,0.12,35
scorer,proportion_of_correct_first_choices,ICC,0.230825519,0.03,35
scorer,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,ICC,0.200546635,0.09,36
scorer,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,ICC,0.09782524,0.49,36
scorer,number_of_trials_in_a_row_correct_choice_first,ICC,0.082697589,0.47,36
scorer,mean_of_median_performance_on_each_ratio_full_four_minutes_data,ICC,0.338551846,0.01,35
scorer,mean_of_median_performance_on_each_ratio_T30_to_T50_data,ICC,-0.117407214,0.24,35
sex,detour_trial_1_prop_time_in_social_reward_following_solution,ICC,-0.099947412,0.34,21
sex,detour_trial_1_date_of_trial,tau,0.001,1,52
sex,detour_trial_1_time_of_trial,tau,0.018,0.67,52
sex,detour_trial_1_did_fish_solve_barrier_problem,tau,0,0.78,52
sex,detour_trial_1_did_fish_solve_full_social_problem,tau,0,0.75,52
sex,detour_trial_1_full_problem_time_to_social_reward_minus_time_to_contact_barrier,ICC,0.063994759,0.62,21
sex,detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,ICC,-0.031436701,0.86,27
sex,detour_trial_1_time_from_barrier_contact_minus_time_to_end_of_alley,ICC,0.034921166,0.18,43
sex,time_to_barrier_contact_minus_start_time,ICC,-0.048087305,0.22,43
sex,scorer,tau,0,0.9,52
sex,shuttlebox_start_side,tau,0.052,0.13,32
sex,shuttlebox_average_distance_from_correct_stimulus_during_stimulus,ICC,0.036194528,0.7,32
sex,shuttlebox_average_distance_from_correct_stimulus_during_gaps,ICC,0.036097258,0.71,32
sex,shuttlebox_slope,ICC,-0.062406333,0.35,32
sex,shuttlebox_wilcox_test,ICC,-0.066504721,0.23,32
sex,binned_shuttlebox_slope,ICC,-0.0657641,0.33,32
sex,binned_shuttlebox_wilcox_test,ICC,-0.066504721,0.19,32
sex,shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,ICC,0.02750757,0.72,32
sex,shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,ICC,-0.01873247,0.87,32
sex,shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,ICC,-0.065445625,0.21,32
sex,shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,ICC,0.098729009,0.09,32
sex,binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,ICC,0.030673847,0.78,32
sex,binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,ICC,-0.01873247,0.84,32
sex,binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,ICC,-0.062890552,0.44,32
sex,binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,ICC,0.079365197,0.15,32
sex,did_fish_solve_shuttlebox,tau,0.126,0.07,32
sex,binned_did_fish_solve_shuttlebox,ICC,0.172697779,0.05,32
sex,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_stimulus,ICC,0.00881088,0.97,32
sex,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_gaps,ICC,-0.028962559,0.78,32
sex,twentythree_filtered_shuttlebox_slope,ICC,-0.055246459,0.53,32
sex,twentythree_filtered_shuttlebox_wilcox_test,ICC,0.012783903,0.93,32
sex,twentythree_filtered_binned_shuttlebox_slope,ICC,-0.063925246,0.32,32
sex,twentythree_filtered_binned_shuttlebox_wilcox_test,ICC,0.012783903,0.89,32
sex,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,ICC,-0.027913465,0.82,32
sex,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,ICC,0.027797794,0.73,32
sex,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,ICC,-0.06430943,0.35,32
sex,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,ICC,0.073523142,0.13,32
sex,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,ICC,-0.023886109,0.78,32
sex,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,ICC,0.009094212,0.94,32
sex,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,ICC,-0.066351743,0.25,32
sex,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,ICC,0.051267941,0.62,32
sex,standard_length,ICC,0.439056837,0.01,36
sex,order,tau,0.014,0.75,36
sex,average_number_of_entries,ICC,0.174319455,0.06,36
sex,average_reaction_time,ICC,-0.00755239,0.9,36
sex,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,ICC,-0.046720907,0.48,35
sex,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,ICC,0.069325309,0.15,35
sex,total_number_of_testing_trials_using_full_4_minutes_data,ICC,-0.049566056,0.26,36
sex,total_number_of_testing_trials_using_T30_to_T50_data,ICC,-0.05606458,0.28,36
sex,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,ICC,-0.042407661,0.4,36
sex,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,ICC,-0.055317491,0.21,36
sex,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,ICC,-0.010967099,0.82,36
sex,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,ICC,-0.056912296,0.12,36
sex,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,ICC,0.014198783,0.88,36
sex,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,ICC,-0.037647059,0.58,36
sex,median_performance_on_0.50_ratio_using_full_4_minutes_data,ICC,-0.058409011,0.31,35
sex,median_performance_on_0.67_ratio_using_full_4_minutes_data,ICC,-0.030469477,0.81,35
sex,median_performance_on_0.75_ratio_using_full_4_minutes_data,ICC,-0.057050085,0.34,34
sex,median_performance_on_0.50_ratio_using_T30_to_T50_data,ICC,-0.05295267,0.52,33
sex,median_performance_on_0.67_ratio_using_T30_to_T50_data,ICC,-0.060514414,0.19,35
sex,median_performance_on_0.75_ratio_using_T30_to_T50_data,ICC,0.109900037,0.06,34
sex,number_of_medians_above_60_using_full_4_minutes_data,tau,0.08,0.06,36
sex,number_of_medians_above_60_using_T30_to_T50_data,tau,0.005,0.74,36
sex,shapiro_wilk_test_p_value_using_full_4_minutes_data,ICC,-0.060657984,0.12,35
sex,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,ICC,0.027053579,0.78,35
sex,shapiro_wilk_test_p_value_using_T30_to_T50_data,ICC,-0.037748281,0.65,33
sex,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,ICC,-0.022438882,0.83,33
sex,learning_category_according_to_etheredge_T30_to_T50,tau,0.001,0.71,35
sex,learning_category_according_to_etheredge_full_4_minutes,tau,0.05,0.11,36
sex,average_latency_to_enter_correct_side,ICC,-0.033047052,0.73,35
sex,average_latency_to_enter_incorrect_side,ICC,0.05594224,0.32,35
sex,average_latency_to_enter_correct_side_filtered_just_correct_choice,ICC,0.01201139,0.93,35
sex,proportion_of_correct_first_choices,ICC,-0.05861735,0.32,35
sex,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,ICC,-0.054298643,0.09,36
sex,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,ICC,0.120638086,0.07,36
sex,number_of_trials_in_a_row_correct_choice_first,ICC,-0.058823529,0.18,36
sex,mean_of_median_performance_on_each_ratio_full_four_minutes_data,ICC,-0.045099809,0.59,35
sex,mean_of_median_performance_on_each_ratio_T30_to_T50_data,ICC,0.020057223,0.86,35
shapiro_wilk_test_p_value_using_full_4_minutes_data,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,r,0.224833998,0.194105831,35
shapiro_wilk_test_p_value_using_full_4_minutes_data,shapiro_wilk_test_p_value_using_T30_to_T50_data,r,0.302437947,0.087135261,33
shapiro_wilk_test_p_value_using_full_4_minutes_data,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,r,-0.132409822,0.462612807,33
shapiro_wilk_test_p_value_using_full_4_minutes_data,learning_category_according_to_etheredge_T30_to_T50,ICC,-0.068725391,0.21,34
shapiro_wilk_test_p_value_using_full_4_minutes_data,learning_category_according_to_etheredge_full_4_minutes,ICC,-0.047187161,0.47,35
shapiro_wilk_test_p_value_using_full_4_minutes_data,average_latency_to_enter_correct_side,r,-0.291843001,0.0889205,35
shapiro_wilk_test_p_value_using_full_4_minutes_data,average_latency_to_enter_incorrect_side,r,-0.168248782,0.333976843,35
shapiro_wilk_test_p_value_using_full_4_minutes_data,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,-0.338383782,0.046779368,35
shapiro_wilk_test_p_value_using_full_4_minutes_data,proportion_of_correct_first_choices,r,-0.053277335,0.761156893,35
shapiro_wilk_test_p_value_using_full_4_minutes_data,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,-0.007434482,0.96619086,35
shapiro_wilk_test_p_value_using_full_4_minutes_data,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,0.092746665,0.596171571,35
shapiro_wilk_test_p_value_using_full_4_minutes_data,number_of_trials_in_a_row_correct_choice_first,r,0.070315333,0.688139708,35
shapiro_wilk_test_p_value_using_full_4_minutes_data,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,0.231800348,0.180284659,35
shapiro_wilk_test_p_value_using_full_4_minutes_data,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,0.23103031,0.181777151,35
shapiro_wilk_test_p_value_using_T30_to_T50_data,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,r,0.089024387,0.622247663,33
shapiro_wilk_test_p_value_using_T30_to_T50_data,learning_category_according_to_etheredge_T30_to_T50,ICC,-0.064127274,0.42,33
shapiro_wilk_test_p_value_using_T30_to_T50_data,learning_category_according_to_etheredge_full_4_minutes,ICC,-0.027339264,0.77,33
shapiro_wilk_test_p_value_using_T30_to_T50_data,average_latency_to_enter_correct_side,r,-0.453506465,0.008033938,33
shapiro_wilk_test_p_value_using_T30_to_T50_data,average_latency_to_enter_incorrect_side,r,-0.352708921,0.044087592,33
shapiro_wilk_test_p_value_using_T30_to_T50_data,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,-0.430634241,0.012359328,33
shapiro_wilk_test_p_value_using_T30_to_T50_data,proportion_of_correct_first_choices,r,0.046119055,0.79883596,33
shapiro_wilk_test_p_value_using_T30_to_T50_data,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,-0.011381919,0.949874034,33
shapiro_wilk_test_p_value_using_T30_to_T50_data,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,-0.28492793,0.108012719,33
shapiro_wilk_test_p_value_using_T30_to_T50_data,number_of_trials_in_a_row_correct_choice_first,r,0.193165269,0.281458872,33
shapiro_wilk_test_p_value_using_T30_to_T50_data,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,0.16455296,0.360141347,33
shapiro_wilk_test_p_value_using_T30_to_T50_data,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,0.081889078,0.650519468,33
shuttlebox_average_distance_from_correct_stimulus_during_gaps,shuttlebox_slope,r,-0.313455153,0.080645318,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,shuttlebox_wilcox_test,r,0.179454205,0.325722561,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,binned_shuttlebox_slope,r,-0.285194878,0.11360871,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,binned_shuttlebox_wilcox_test,r,0.179454205,0.325722561,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,-0.721014893,3.24E-06,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,r,-0.26455465,0.143406687,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,0.22954269,0.206307753,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.271043673,0.133484342,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,-0.729833643,2.14E-06,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,r,-0.26455465,0.143406687,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,0.220084798,0.226139479,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.291987379,0.104894491,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,did_fish_solve_shuttlebox,ICC,0.235942725,0.1,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,binned_did_fish_solve_shuttlebox,r,-0.308771189,0.085526788,32
shuttlebox_average_distance_from_correct_stimulus_during_gaps,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_stimulus,r,0.276675165,0.125289967,32
